,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
223,1,0,0,0,0,0,0,0,3,7,0,3,4,3,3,0,1,6,4,2,4,1,0,0,1143443440.2960036,398007733.2252904,30700000.0,63374.19693343027,0.0003357928410816894,0.24131799201494958,0.0016224640993408514
224,0,1,0,0,0,0,0,0,2,4,0,0,6,1,0,0,0,0,5,3,5,1,0,0,1928655635.6623397,221268688.42212602,284500000.0,82293.25313957734,0.0,0.4925871075103193,0.0
225,1,1,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,1,4,4,2,0,0,2819191871.979723,120380554.17220937,61400000.0,32479.70289529473,0.23090457316573654,0.0,0.0
226,0,1,0,0,0,0,0,0,1,1,2,0,0,3,0,0,6,2,6,1,5,0,1,0,607280902.970829,236943898.2207982,284500000.0,17989.195302605374,0.007651580877346506,0.39926055515482783,0.008908733890638381
227,0,0,0,1,0,0,0,0,3,5,0,0,3,0,0,2,2,7,6,6,3,4,0,3,150522552.05547878,295566404.7539802,454300000.0,8490.049872059142,0.0,0.03592682679757001,0.0
228,0,1,0,0,0,0,0,0,3,5,0,0,7,2,0,2,0,0,4,6,7,4,0,0,1810011765.6896207,281054218.6378019,30700000.0,24100.282220709905,0.1430340057966819,0.01908135545542739,0.0
229,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,7,3,7,0,0,1,2061116181.3877668,160617043.68962914,387000000.0,0.0,0.034073001123234165,3.5521388565425838,0.0
230,1,0,0,0,0,0,0,0,0,7,0,0,7,2,0,7,5,4,3,0,0,1,0,0,41670128.24890825,339288951.88330835,146000000.0,0.0,0.0,0.0,0.040561602483521295
231,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,0,0,4,1,2,0,1,0,0,3278151601.0990543,160546257.41489208,0.0,57901.18969533557,0.23090457316573654,0.096786173830707,0.0
232,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,1,2,2,0,0,3280042190.9132175,137345800.3746207,115300000.0,0.0,0.9573986200528086,3.198537035703896,0.0
233,0,0,0,0,0,0,0,0,0,6,5,0,7,2,0,0,5,5,2,6,7,1,0,0,666100492.9665015,381588269.6692531,0.0,0.0,0.03587838659601087,1.2366816479670415,0.014709052975985253
234,0,1,0,0,0,0,0,0,0,0,0,4,1,3,0,1,1,0,4,1,6,1,0,0,2000125499.3356462,233714255.28162497,115300000.0,0.0,1.1647985744797367,0.5287832012185053,0.0
