,policy,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
10674,,55048993.62792353,389229068.71292466,30700000.0,1503.7086862289898,0.00018342527349204783,0.00032814745935874043,0.01575020515007027
10675,,471619438.4793222,389229068.71292466,30700000.0,10342.482160963751,0.10921122595380597,0.0,0.003991241143207152
10676,,17249024.88706914,389229068.71292466,30700000.0,584.8251856685154,0.001861203797225518,6.857565222431564e-05,0.0048673922980225545
10677,,227553798.111626,389229068.71292466,30700000.0,7253.756858410685,0.0018209085613973895,0.0,0.07387819227052328
10678,,288695579.99812835,389229068.71292466,30700000.0,9963.159286540696,0.10888206298352188,0.0,0.0
10679,,17535559.946898133,389229068.71292466,30700000.0,443.5885477478655,0.005152170322522829,0.0,0.0004984457478898352
10680,,233253832.52053735,389229068.71292466,30700000.0,6023.1944635074915,0.0018064932316611516,0.0,0.06125636712041066
10681,,151011959.91013333,389229068.71292466,30700000.0,3519.255637875409,0.025173321717324497,0.0060998274834061965,0.0
10682,,204211490.6192517,389229068.71292466,30700000.0,5653.845007288034,0.0,0.001502626316737284,0.0568286041570756
10683,,3131220511.309284,389229068.71292466,30700000.0,15797.008525693966,0.696244510533178,0.0,0.0
10684,,179411931.90919146,389229068.71292466,30700000.0,6782.378604206878,0.06524358267432084,0.0,0.011382814696585909
10685,,49265687.97004619,389229068.71292466,30700000.0,1263.6782734495755,0.001849008095579608,0.0,0.012328852447868901
10686,,460842175.8311677,389229068.71292466,30700000.0,9984.967259508909,0.10938056330751124,0.0,0.0
10687,,28443179.497941718,389229068.71292466,30700000.0,926.6056812046019,0.010543675870928915,0.00022173572933212687,0.0004957055985524273
10688,,134050864.20811154,389229068.71292466,30700000.0,4733.593062609362,0.0,0.00035432751469322227,0.05033738567686945
10689,,233017879.36381865,389229068.71292466,30700000.0,8009.78089400803,0.0018264768461135612,0.0,0.0817287093125768
10690,,93963137.03027304,389229068.71292466,30700000.0,2796.546560798748,0.00018585704904789196,0.0003456470091239296,0.029718372254975433
10691,,119970828.85164857,389229068.71292466,30700000.0,3214.4955694457076,0.03272709524987558,0.0,0.0045062018260513086
10692,,503582331.5763121,389229068.71292466,30700000.0,10823.29947484144,0.11911469794717605,0.0,0.0
10693,,132621624.65035371,389229068.71292466,30700000.0,4397.275804463812,0.0,0.0027791744770893356,0.04002577330210592
10694,,203033406.2325436,389229068.71292466,30700000.0,7011.222042849022,0.0018316304249338035,0.0,0.07159419555137077
10695,,56996135.03316179,389229068.71292466,30700000.0,1911.2626409039042,0.018053483401830862,0.0,0.0048088960196545965
10696,,604095237.4760087,389229068.71292466,30700000.0,20264.291544575735,0.0,0.0,0.20158527615160035
10697,,76468699.5555082,389229068.71292466,30700000.0,2760.6151332688314,0.018129561919055,0.005795077655559664,0.0
10698,,270444754.5432144,389229068.71292466,30700000.0,11058.76485794044,0.0018334133685033128,0.0,0.11208440455591055
