,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,policy,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths Upstream Gelderland,Expected Number of Deaths Downstream Gelderland,Expected Number of Deaths Overijssel
27,43.0,268.95961757714906,1.0,0.8402709657599143,287.3250796076507,1.5,0.8243802942561342,249.8549923196946,1.0,0.19709746096565314,173.5353702478165,10,0.4988191969273073,267.6948255698094,1.5,0.6934513383664065,1.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,No_measures,dikesnet,No_measures,1925736213.7159042,0,0.0,0.0,0.017248040018498993,2.6266078300319124,0.0
28,60.0,300.0021574848928,1.0,0.8782730105296014,187.48311567683547,1.5,0.8345526479275187,204.52884602362533,10,0.43913807630507107,282.7153460183723,1.5,0.2374960726834718,173.56687004246442,1.5,0.9604177273203486,1.5,3.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,No_measures,dikesnet,No_measures,429846391.8541854,0,0.0,0.0,0.017426465577675763,0.5000387859027666,0.0
29,18.0,44.89265930504172,1.5,0.5187668798104252,337.5496826663193,10,0.3573781628206657,52.00945670780406,10,0.018435843092076225,224.1494230332837,1.0,0.6843544851054636,244.80819466378085,1.0,0.5718297350493703,4.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,No_measures,dikesnet,No_measures,2821706725.2367096,0,0.0,0.0,0.2461201976962906,3.7131747073156616,0.0
30,75.0,174.03930168974082,1.0,0.21272810551308718,264.4768503945612,1.5,0.9193260506036338,242.1053956066175,10,0.01816669049828397,234.43615648281875,1.0,0.4155432319295258,64.26161751074076,1.0,0.8081221281291483,2.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,No_measures,dikesnet,No_measures,5818724581.15939,0,0.0,0.0,1.9862634830188441,3.380694960587152,0.0
31,31.0,185.08429326931588,1.5,0.6933435783567988,123.08168214317278,10,0.4925599597068275,245.36908158716568,10,0.3119945241543232,140.5408028977128,1.5,0.07261580259014966,341.01559595900187,1.5,0.15950838033549988,4.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,No_measures,dikesnet,No_measures,826916168.8990431,0,0.0,0.0,0.0992559474909667,1.1959849812507906,0.005696968544205981
32,85.0,162.27955116313456,10,0.7570378182673427,40.343110289921505,1.5,0.9995047817809385,268.1677460325933,1.5,0.07542344590377491,38.857949740310744,1.0,0.6482177400747545,275.89747156424016,10,0.9913930250176874,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,No_measures,dikesnet,No_measures,1819476725.0628858,0,0.0,0.0,0.0,3.702608209815731,0.0
33,92.0,231.68976872984845,10,0.728588355525804,286.37344973245536,1.5,0.6152469972635568,112.80820077376023,1.0,0.5007561525439325,241.45660335975958,10,0.3256308136693613,126.39704858548932,1.5,0.7116404730997975,1.5,2.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,No_measures,dikesnet,No_measures,239386428.66546562,0,0.0,0.0,0.037826193572810876,0.29000735433899777,0.0
34,21.0,318.32160437605467,10,0.24550230490329514,248.67865390881423,1.5,0.2543015369582185,339.89838096980145,10,0.3318053344040093,60.60544341546198,1.5,0.8601222271510556,297.1115834244412,1.5,0.48532233764745253,3.5,4.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,No_measures,dikesnet,No_measures,2579502573.6245384,0,0.0,0.0,2.0012636963843833,0.0,0.0
35,64.0,33.62762467068828,1.5,0.3239650674880667,347.5056555658595,1.0,0.06673965300904824,220.81896006170922,1.5,0.2404976711629035,125.93994869076175,1.5,0.0937995692289841,51.29024288707034,1.0,0.6623381282831383,3.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,No_measures,dikesnet,No_measures,4299423714.904383,0,0.0,0.0,2.9063042487113924,0.3041829868661156,0.0
36,105.0,148.22408421327737,1.5,0.476522243825056,82.74622246224509,1.0,0.27151297312261924,308.79907207519386,1.5,0.98782758363922,348.15378499438475,1.5,0.870584053387635,183.16666337399764,1.0,0.6660067529187929,4.5,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,No_measures,dikesnet,No_measures,631124480.7521117,0,0.0,0.0,0.519092025464687,0.0,0.0
